vehicle_id,t0_image,t1_image,t0_x1,t0_y1,t0_x2,t0_y2,t1_x1,t1_y1,t1_x2,t1_y2,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,iou,reid_similarity,final_score,note,is_matched
69,,0001_top_20250705_t1.JPG_detect.csv,,,,,543,929,610,1017,,,,,303,165,318,208,0.0,0.0,0.0,new,0
70,,0001_top_20250705_t1.JPG_detect.csv,,,,,936,759,1020,870,,,,,193,286,212,341,0.0,0.0,0.0,new,0
71,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,909,475,940,541,910,476,944,543,375,231,459,296,354,381,444,454,0.8213984835720304,0.6680725812911987,0.8213984835720304,hungarian,1
72,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,879,482,911,542,881,481,916,542,375,165,451,232,356,312,438,386,0.7982261640798226,0.6982604265213013,0.7982261640798226,hungarian,1
73,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,942,474,975,537,940,475,976,541,378,305,458,375,355,455,444,532,0.8493150684931506,0.7457249164581299,0.8493150684931506,hungarian,1
74,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,844,475,879,537,846,473,881,538,384,86,463,159,363,227,450,303,0.8528553563984994,0.8186824917793274,0.8528553563984994,hungarian,1
75,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,990,639,1019,701,987,639,1023,704,165,399,243,457,131,545,218,623,0.7683760683760684,0.6704888939857483,0.7683760683760684,hungarian,1
76,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,975,471,1004,534,973,474,1008,538,380,381,460,439,358,534,444,611,0.7477438762354963,0.5771725177764893,0.7477438762354963,hungarian,1
77,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,1008,469,1036,530,1008,477,1020,536,384,454,461,511,359,618,440,639,0.35730337078651686,0.2778419852256775,0.35730337078651686,hungarian,1
78,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,930,641,961,709,930,641,963,710,158,265,243,328,125,405,218,477,0.9257795344751867,0.7651301622390747,0.9257795344751867,hungarian,1
79,0001_top_20250707_t0.png_detect.csv,0001_top_20250707_t1.png_detect.csv,978,541,1035,570,976,545,1022,577,334,381,368,505,305,531,347,639,0.5432098765432098,0.5497705340385437,0.5432098765432098,hungarian,1
80,,0001_top_20250707_t1.png_detect.csv,,,,,815,470,849,534,,,,,369,153,455,225,0.0,0.0,0.0,new,0
81,,0001_top_20250707_t1.png_detect.csv,,,,,786,459,820,524,,,,,384,86,470,158,0.0,0.0,0.0,new,0
82,,0001_top_20250707_t1.png_detect.csv,,,,,1022,641,1029,705,,,,,127,629,216,639,0.0,0.0,0.0,new,0
83,,0001_top_20250707_t1.png_detect.csv,,,,,1003,476,1020,538,,,,,357,607,441,639,0.0,0.0,0.0,new,0
84,0001_top_20250708_t0.jpg_detect.csv,0001_top_20250708_t1.jpg_detect.csv,948,1010,993,1087,960,1015,988,1080,398,236,469,524,585,320,639,558,0.5252525252525253,0.7247065901756287,0.5252525252525253,hungarian,1
85,0001_top_20250708_t0.jpg_detect.csv,0001_top_20250708_t1.jpg_detect.csv,880,1000,922,1077,888,1005,923,1072,240,259,307,543,443,292,510,541,0.69009391093608,0.8448776006698608,0.69009391093608,hungarian,1
86,0001_top_20250708_t0.jpg_detect.csv,0001_top_20250708_t1.jpg_detect.csv,845,998,887,1074,854,1001,888,1071,159,282,230,561,376,284,440,544,0.7081545064377682,0.8947622776031494,0.7081545064377682,hungarian,1
87,0001_top_20250708_t0.jpg_detect.csv,0001_top_20250708_t1.jpg_detect.csv,913,1012,955,1087,922,1014,958,1083,318,277,386,557,512,320,580,575,0.67828418230563,0.9012045860290527,0.67828418230563,hungarian,1
88,0001_top_20250708_t0.jpg_detect.csv,0001_top_20250708_t1.jpg_detect.csv,776,989,817,1065,781,992,815,1060,0,308,73,584,229,265,292,520,0.7419768934531451,0.6825886964797974,0.7419768934531451,hungarian,1
89,0001_top_20250708_t0.jpg_detect.csv,0001_top_20250708_t1.jpg_detect.csv,810,994,852,1071,819,1001,854,1067,78,297,150,577,306,290,372,537,0.6470588235294118,0.815007746219635,0.6470588235294118,hungarian,1
90,,0001_top_20250708_t1.jpg_detect.csv,,,,,737,992,774,1059,,,,,141,273,209,523,0.0,0.0,0.0,new,0
91,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1288,622,1378,703,1288,625,1377,703,258,172,312,284,258,172,312,284,0.9522633744855967,1.0,0.9522633744855967,hungarian,1
92,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1271,573,1355,645,1271,577,1354,646,214,187,262,293,214,187,262,293,0.9205676072418855,1.0,0.9205676072418855,hungarian,1
93,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1247,530,1333,613,1246,534,1332,613,174,209,232,314,174,209,232,314,0.9304420119163087,1.0000001192092896,0.9304420119163087,hungarian,1
94,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1256,531,1333,600,1255,535,1331,601,175,206,223,301,175,206,223,301,0.8938393839383938,1.0000001192092896,0.8938393839383938,hungarian,1
95,0002_top_20250630_t0.jpg_detect.csv,0002_top_20250630_t1.jpg_detect.csv,392,472,425,505,391,444,425,504,163,31,186,79,235,51,257,155,0.5094066570188133,0.6855304837226868,0.5094066570188133,hungarian,1
96,,0002_top_20250630_t1.jpg_detect.csv,,,,,349,240,402,325,,,,,218,335,250,405,0.0,0.0,0.0,new,0
97,0002_top_20250703_t0.JPG_detect.csv,0002_top_20250703_t1.JPG_detect.csv,1020,252,1048,323,1020,262,1053,329,558,358,622,399,441,354,503,393,0.6856684062625452,0.7014757394790649,0.6856684062625452,hungarian,1
98,0002_top_20250703_t0.JPG_detect.csv,0002_top_20250703_t1.JPG_detect.csv,981,245,1010,317,980,255,1016,323,565,297,630,340,443,292,506,334,0.6566837107377648,0.5899502038955688,0.6566837107377648,hungarian,1
99,0002_top_20250703_t0.JPG_detect.csv,0002_top_20250703_t1.JPG_detect.csv,1104,244,1134,312,1103,257,1135,321,566,489,627,532,456,482,516,522,0.6767842493847416,0.7042073011398315,0.6767842493847416,hungarian,1
100,0002_top_20250703_t0.JPG_detect.csv,0002_top_20250703_t1.JPG_detect.csv,1067,257,1093,318,1066,263,1096,325,561,431,617,469,448,425,506,462,0.7093253968253969,0.7019582390785217,0.7093253968253969,hungarian,1
101,0002_top_20250703_t0.JPG_detect.csv,0002_top_20250703_t1.JPG_detect.csv,869,382,937,415,868,385,937,416,480,121,507,225,351,141,374,240,0.8706786171574904,0.7512574791908264,0.8706786171574904,hungarian,1
102,0002_top_20250703_t0.JPG_detect.csv,0002_top_20250703_t1.JPG_detect.csv,1010,728,1071,762,1002,730,1071,771,163,325,190,418,46,413,78,510,0.6614706879024059,0.6235976219177246,0.6614706879024059,hungarian,1
103,0002_top_20250704_t0.JPG_detect.csv,0002_top_20250704_t1.JPG_detect.csv,59,940,91,1008,65,938,96,1006,63,293,98,427,216,298,251,434,0.6682242990654206,0.7544397115707397,0.6682242990654206,hungarian,1
104,,0002_top_20250704_t1.JPG_detect.csv,,,,,-113,937,-85,1009,,,,,0,264,29,414,0.0,0.0,0.0,new,0
105,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,856,848,929,923,867,873,947,956,230,60,262,119,307,100,339,156,0.343871325568497,0.734646737575531,0.343871325568497,hungarian,1
106,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,398,687,491,760,391,681,483,761,474,128,511,181,557,165,594,221,0.7810926485397784,0.7832098603248596,0.7810926485397784,hungarian,1
107,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,433,854,520,920,424,861,506,945,436,0,471,46,518,26,548,83,0.517481677279827,0.7220141887664795,0.517481677279827,hungarian,1
108,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,358,435,449,508,389,437,449,507,533,341,570,396,618,373,639,433,0.6322444678609063,0.738244891166687,0.6322444678609063,hungarian,1
109,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,920,586,1001,662,929,591,1018,672,222,313,261,374,304,345,343,404,0.6194111232279171,0.8942569494247437,0.6194111232279171,hungarian,1
110,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,481,669,570,745,477,673,564,750,438,154,474,211,519,190,554,244,0.7981835180980366,0.9006478786468506,0.7981835180980366,hungarian,1
111,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1028,724,1109,804,1013,756,1103,845,144,200,184,265,244,217,282,279,0.3305785123966942,0.6240277290344238,0.3305785123966942,hungarian,1
112,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,388,602,474,679,392,603,463,671,495,194,528,253,581,235,608,286,0.7290848686197523,0.8587320446968079,0.7290848686197523,hungarian,1
113,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,555,331,637,404,552,332,636,405,456,479,491,539,539,506,575,566,0.9277760101813554,0.8103963732719421,0.9277760101813554,hungarian,1
114,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,648,375,735,451,643,375,734,451,397,456,436,518,480,484,520,544,0.9347826086956522,0.7929676175117493,0.9347826086956522,hungarian,1
115,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,573,398,653,472,567,399,647,470,437,418,471,478,522,448,556,505,0.8279231011660889,0.9022831916809082,0.8279231011660889,hungarian,1
116,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,809,601,886,677,809,608,891,685,284,274,319,336,366,308,401,365,0.7752808988764045,0.8286260962486267,0.7752808988764045,hungarian,1
117,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,616,651,699,721,610,655,693,732,376,198,412,251,458,230,492,285,0.7138643067846607,0.8398720622062683,0.7138643067846607,hungarian,1
118,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,847,594,928,666,854,599,935,675,262,293,300,351,345,326,380,382,0.7052631578947368,0.5381409525871277,0.7052631578947368,hungarian,1
119,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,577,659,652,728,570,666,644,734,399,184,430,237,481,219,511,268,0.6862712704444077,0.9047192335128784,0.6862712704444077,hungarian,1
120,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,449,421,528,492,447,426,524,492,497,372,529,429,581,403,613,455,0.8622191255878767,0.7898540496826172,0.8622191255878767,hungarian,1
121,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,515,322,602,398,513,325,597,400,475,476,512,539,561,502,596,565,0.8642795264221773,0.8587422370910645,0.8642795264221773,hungarian,1
122,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,601,384,693,460,598,387,688,459,418,438,459,498,502,467,542,523,0.8690344062153164,0.7011178731918335,0.8690344062153164,hungarian,1
123,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1040,558,1116,630,1059,563,1146,643,159,369,198,429,242,396,281,456,0.4433995123650296,0.9228171110153198,0.4433995123650296,hungarian,1
124,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,508,839,606,920,501,849,599,936,396,12,436,70,475,50,514,107,0.6459062281315605,0.9337056875228882,0.6459062281315605,hungarian,1
125,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,598,826,691,903,637,827,726,912,356,39,395,95,418,92,453,149,0.38636791564677087,0.693270206451416,0.38636791564677087,hungarian,1
126,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,471,852,560,927,462,858,550,940,417,0,452,54,497,38,531,92,0.6458530805687204,0.9230008125305176,0.6458530805687204,hungarian,1
127,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,554,831,643,911,591,837,685,919,379,25,415,84,436,79,474,133,0.3504553734061931,0.7291135191917419,0.3504553734061931,hungarian,1
128,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,535,665,597,729,528,670,593,734,426,173,450,224,506,209,531,256,0.727156821079473,0.7643923759460449,0.727156821079473,hungarian,1
129,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,482,415,573,487,485,420,568,488,475,386,514,441,559,416,595,468,0.8381311228334589,0.8690609931945801,0.8381311228334589,hungarian,1
130,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,527,409,613,480,520,409,606,483,456,401,493,457,541,428,578,486,0.8175193120536365,0.8721169829368591,0.8175193120536365,hungarian,1
131,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,873,762,957,845,880,780,970,869,225,134,263,200,306,172,343,233,0.5016538037486218,0.7746305465698242,0.5016538037486218,hungarian,1
