image_name,template_key,xc,yc,t1_w,t1_h,classification,detail
0013_top_20250704_t1,DJI_0581,551.0,388.5,76,65,ILLEGAL,ILLEGAL;OTHER
0013_top_20250704_t1,DJI_0581,404.0,613.5,72,51,ILLEGAL,ILLEGAL;OTHER
0013_top_20250704_t1,DJI_0581,233.0,441.0,44,156,ILLEGAL,ILLEGAL;OTHER
0013_top_20250711_t1,DJI_0581,297.5,417.5,49,113,ILLEGAL,ILLEGAL;OTHER
0013_top_20250711_t1,DJI_0581,251.5,422.5,45,117,ILLEGAL,ILLEGAL;OTHER
0013_top_20250711_t1,DJI_0581,214.0,438.0,48,106,ILLEGAL,ILLEGAL;OTHER
0014_top_20250708_t1,DJI_0581,172.0,195.5,56,161,ILLEGAL,ILLEGAL;OTHER
0014_top_20250708_t1,DJI_0581,229.5,169.0,65,164,ILLEGAL,ILLEGAL;OTHER
0017_top_20250702_t1,DJI_0581,366.5,240.5,107,361,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,321.5,347.5,33,119,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,321.0,216.0,32,116,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,453.5,341.5,31,119,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,489.0,344.0,32,126,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,522.0,345.0,32,122,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,422.5,218.0,33,114,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,356.0,215.5,34,117,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,557.0,347.5,30,117,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,389.5,215.0,35,122,ILLEGAL,ILLEGAL;OTHER
0020_top_20250703_t1,DJI_0581,586.5,356.5,25,89,ILLEGAL,ILLEGAL;OTHER
0020_top_20250711_t1,DJI_0581,458.0,115.0,42,166,ILLEGAL,ILLEGAL;OTHER
0020_top_20250711_t1,DJI_0581,217.5,109.5,43,163,ILLEGAL,ILLEGAL;OTHER
0028_top_20250704_t1,DJI_0581,347.5,192.0,55,152,ILLEGAL,ILLEGAL;OTHER
0031_top_20250703_t1,DJI_0581,254.0,274.0,144,392,ILLEGAL,ILLEGAL;OTHER
0031_top_20250703_t1,DJI_0581,319.0,261.0,108,394,ILLEGAL,ILLEGAL;OTHER
0034_top_20250704_t1,DJI_0581,339.5,545.0,43,150,ILLEGAL,ILLEGAL;OTHER
0034_top_20250704_t1,DJI_0581,324.5,179.5,53,123,ILLEGAL,ILLEGAL;OTHER
0039_top_20250704_t1,DJI_0581,413.0,237.0,50,120,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,134.5,365.0,21,68,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,84.0,367.5,26,87,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,142.5,174.0,19,84,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,56.5,471.5,27,89,ILLEGAL,ILLEGAL;OTHER
0040_top_20250623_t1,DJI_0581,137.5,461.5,25,87,ILLEGAL,ILLEGAL;OTHER
