vehicle_id,t0_image_csv,t1_image_csv,note,iou,reid_similarity,final_score,saved_filename
19,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.7644297111678588,0.7207036018371582,0.7644297111678588,ID_19_HUNGARIAN_S0.76_I0.76_R0.72.jpg
20,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.873031682792639,0.8689122200012207,0.873031682792639,ID_20_HUNGARIAN_S0.87_I0.87_R0.87.jpg
21,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.6275510204081632,0.7549769282341003,0.6275510204081632,ID_21_HUNGARIAN_S0.63_I0.63_R0.75.jpg
22,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.7230560831001926,0.8324564695358276,0.7230560831001926,ID_22_HUNGARIAN_S0.72_I0.72_R0.83.jpg
23,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.8440659622340577,0.9230147004127502,0.8440659622340577,ID_23_HUNGARIAN_S0.84_I0.84_R0.92.jpg
24,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.8558751828376402,0.9001799821853638,0.8558751828376402,ID_24_HUNGARIAN_S0.86_I0.86_R0.90.jpg
25,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.882012216527417,0.8476841449737549,0.882012216527417,ID_25_HUNGARIAN_S0.88_I0.88_R0.85.jpg
26,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,hungarian,0.8805413932645922,0.7731097340583801,0.8805413932645922,ID_26_HUNGARIAN_S0.88_I0.88_R0.77.jpg
28,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,hungarian,0.7715665796344647,1.0,0.7715665796344647,ID_28_HUNGARIAN_S0.77_I0.77_R1.00.jpg
29,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,hungarian,0.8894934333958724,1.0,0.8894934333958724,ID_29_HUNGARIAN_S0.89_I0.89_R1.00.jpg
30,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,hungarian,0.9170892753033065,1.0000001192092896,0.9170892753033065,ID_30_HUNGARIAN_S0.92_I0.92_R1.00.jpg
31,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,hungarian,0.9391382141188183,1.0000001192092896,0.9391382141188183,ID_31_HUNGARIAN_S0.94_I0.94_R1.00.jpg
32,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,hungarian,0.6853846153846154,0.5722429156303406,0.6853846153846154,ID_32_HUNGARIAN_S0.69_I0.69_R0.57.jpg
33,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,hungarian,0.7460732984293194,0.610986053943634,0.7460732984293194,ID_33_HUNGARIAN_S0.75_I0.75_R0.61.jpg
34,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,hungarian,0.7176913425345044,0.641682505607605,0.7176913425345044,ID_34_HUNGARIAN_S0.72_I0.72_R0.64.jpg
35,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,hungarian,0.6570660522273426,0.3239688575267792,0.6570660522273426,ID_35_HUNGARIAN_S0.66_I0.66_R0.32.jpg
36,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,hungarian,0.6895761741122566,0.5144404768943787,0.6895761741122566,ID_36_HUNGARIAN_S0.69_I0.69_R0.51.jpg
37,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,hungarian,0.42516268980477223,0.7294043898582458,0.42516268980477223,ID_37_HUNGARIAN_S0.43_I0.43_R0.73.jpg
40,0002_top_20250704_t0.JPG_detect.csv,0002_top_20250704_t1.JPG_detect.csv,hungarian,0.5343266140812153,0.7544397115707397,0.5343266140812153,ID_40_HUNGARIAN_S0.53_I0.53_R0.75.jpg
42,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.4810126582278481,0.872462809085846,0.4810126582278481,ID_42_HUNGARIAN_S0.48_I0.48_R0.87.jpg
43,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.8,0.8103963732719421,0.8,ID_43_HUNGARIAN_S0.80_I0.80_R0.81.jpg
44,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.8854166666666666,0.7929676175117493,0.8854166666666666,ID_44_HUNGARIAN_S0.89_I0.89_R0.79.jpg
45,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7712177121771218,0.9022831916809082,0.7712177121771218,ID_45_HUNGARIAN_S0.77_I0.77_R0.90.jpg
46,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.6666666666666666,0.8286260962486267,0.6666666666666666,ID_46_HUNGARIAN_S0.67_I0.67_R0.83.jpg
47,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7802197802197802,0.5381409525871277,0.7802197802197802,ID_47_HUNGARIAN_S0.78_I0.78_R0.54.jpg
48,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.8863636363636364,0.8587422370910645,0.8863636363636364,ID_48_HUNGARIAN_S0.89_I0.89_R0.86.jpg
49,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.8730512249443207,0.7011178731918335,0.8730512249443207,ID_49_HUNGARIAN_S0.87_I0.87_R0.70.jpg
50,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7652554164182072,0.7435351610183716,0.7652554164182072,ID_50_HUNGARIAN_S0.77_I0.77_R0.74.jpg
51,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.771040218470705,0.7729012966156006,0.771040218470705,ID_51_HUNGARIAN_S0.77_I0.77_R0.77.jpg
52,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7509578544061303,0.6770387887954712,0.7509578544061303,ID_52_HUNGARIAN_S0.75_I0.75_R0.68.jpg
53,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.9692307692307692,0.8814377188682556,0.9692307692307692,ID_53_HUNGARIAN_S0.97_I0.97_R0.88.jpg
54,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.66,0.8313859701156616,0.66,ID_54_HUNGARIAN_S0.66_I0.66_R0.83.jpg
55,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.5779816513761468,0.7640297412872314,0.5779816513761468,ID_55_HUNGARIAN_S0.58_I0.58_R0.76.jpg
56,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.9157725983475151,0.8296569585800171,0.9157725983475151,ID_56_HUNGARIAN_S0.92_I0.92_R0.83.jpg
57,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7894736842105263,0.83567214012146,0.7894736842105263,ID_57_HUNGARIAN_S0.79_I0.79_R0.84.jpg
58,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7377049180327869,0.857738196849823,0.7377049180327869,ID_58_HUNGARIAN_S0.74_I0.74_R0.86.jpg
59,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.677572780393206,0.8289677500724792,0.677572780393206,ID_59_HUNGARIAN_S0.68_I0.68_R0.83.jpg
60,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.7649478013286934,0.8707965612411499,0.7649478013286934,ID_60_HUNGARIAN_S0.76_I0.76_R0.87.jpg
61,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,hungarian,0.5670103092783505,0.6570829749107361,0.5670103092783505,ID_61_HUNGARIAN_S0.57_I0.57_R0.66.jpg
62,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,reid_assist,0.8448064459625153,0.8988349437713623,0.8448064459625153,ID_62_REID_ASSIST_S0.84_I0.84_R0.90.jpg
127,0002_top_20250711_t0.JPG_detect.csv,0002_top_20250711_t1.JPG_detect.csv,hungarian,1.0,1.0,1.0,ID_127_HUNGARIAN_S1.00_I1.00_R1.00.jpg
128,0002_top_20250711_t0.JPG_detect.csv,0002_top_20250711_t1.JPG_detect.csv,hungarian,1.0,0.9999998807907104,1.0,ID_128_HUNGARIAN_S1.00_I1.00_R1.00.jpg
129,0002_top_20250711_t0.JPG_detect.csv,0002_top_20250711_t1.JPG_detect.csv,hungarian,1.0,1.0,1.0,ID_129_HUNGARIAN_S1.00_I1.00_R1.00.jpg
130,0002_top_20250711_t0.JPG_detect.csv,0002_top_20250711_t1.JPG_detect.csv,hungarian,1.0,1.0,1.0,ID_130_HUNGARIAN_S1.00_I1.00_R1.00.jpg
131,0002_top_20250711_t0.JPG_detect.csv,0002_top_20250711_t1.JPG_detect.csv,hungarian,1.0,1.0,1.0,ID_131_HUNGARIAN_S1.00_I1.00_R1.00.jpg
